subj,chan,task,X,Y,Z,dof,responseTr,Loc_Tval,Loc_Pval,RT,varRT,JPAnatomy,Tval,Pval
S20,AFS10,EP,-16.5957450866699,68.1623687744141,-1.63450407981873,24,11,-1.02834390692954,0.0733853229354129,4.26173554829196,4.30961196652941,MPFC,-1.1688608501673,0.126974605078984
S20,AFS10,MTH,-16.5957450866699,68.1623687744141,-1.63450407981873,36,18,NaN,NaN,5.79584848580635,15.1858001019191,MPFC,-0.962193119181671,0.175964807038592
S20,AFS10,OTH,-16.5957450866699,68.1623687744141,-1.63450407981873,24,20,-1.2340316599852,0.0141971605678864,5.41801136624963,3.26093132918328,MPFC,-0.590449930712064,0.2875424915017
S20,AFS10,SE,-16.5957450866699,68.1623687744141,-1.63450407981873,23,13,-0.821857034319966,0.25874825034993,4.6938145411297,7.0737157112933,MPFC,-0.0869438601197125,0.466506698660268
S20,AFS10,SJ,-16.5957450866699,68.1623687744141,-1.63450407981873,18,13,-0.858069169491199,0.127774445110978,3.95288261666833,2.58067779500876,MPFC,0.891084325115265,0.179364127174565
S20,AFS11,EP,-20.7658729553223,63.6945724487305,-3.05511045455933,24,11,1.51860454431975,0.0675864827034593,4.26173554829196,4.30961196652941,MPFC,0.0814951701262434,0.458508298340332
S20,AFS11,MTH,-20.7658729553223,63.6945724487305,-3.05511045455933,36,18,NaN,NaN,5.79584848580635,15.1858001019191,MPFC,-1.72117039677846,0.0427914417116577
S20,AFS11,OTH,-20.7658729553223,63.6945724487305,-3.05511045455933,24,20,-0.387228387275982,0.357128574285143,5.41801136624963,3.26093132918328,MPFC,-0.0256156901852846,0.48250349930014
S20,AFS11,SE,-20.7658729553223,63.6945724487305,-3.05511045455933,23,13,2.20911913013826,0.0173965206958608,4.6938145411297,7.0737157112933,MPFC,0.549961618491344,0.30253949210158
S20,AFS11,SJ,-20.7658729553223,63.6945724487305,-3.05511045455933,18,13,-0.881745774002676,0.181363727254549,3.95288261666833,2.58067779500876,MPFC,0.676322678369848,0.243951209758048
S20,AFS12,EP,-20.7281627655029,60.5625190734863,-0.771354079246521,24,11,1.15767963306823,0.120175964807039,4.26173554829196,4.30961196652941,MPFC,0.160507675293689,0.428314337132573
S20,AFS12,MTH,-20.7281627655029,60.5625190734863,-0.771354079246521,36,18,NaN,NaN,5.79584848580635,15.1858001019191,MPFC,-0.664418867188478,0.269546090781844
S20,AFS12,OTH,-20.7281627655029,60.5625190734863,-0.771354079246521,24,20,-0.268323767295267,0.399120175964807,5.41801136624963,3.26093132918328,MPFC,0.905369827269978,0.190361927614477
S20,AFS12,SE,-20.7281627655029,60.5625190734863,-0.771354079246521,23,13,1.65958551733646,0.0561887622475505,4.6938145411297,7.0737157112933,MPFC,0.443080071631445,0.342731453709258
S20,AFS12,SJ,-20.7281627655029,60.5625190734863,-0.771354079246521,18,13,-1.81530415445357,0.0401919616076785,3.95288261666833,2.58067779500876,MPFC,0.087921508262778,0.453309338132374
S04,AFS1,EP,-20.4377861022949,62.7045974731445,-13.8462724685669,25,5,-0.105473192937196,0.461707658468306,3.19580847456004,0.392079145931564,OFC,3.04380943485609,0.00919816036792642
S04,AFS1,MTH,-20.4377861022949,62.7045974731445,-13.8462724685669,40,24,NaN,NaN,6.27493552212472,4.63283245206282,OFC,-1.49589070501641,0.0787842431513697
