subj,chan,task,X,Y,Z,dof,RT,varRT,JPAnatomy,Tval,Pval
S20,AFS10,false,-16.5957450866699,68.1623687744141,-1.63450407981873,17,4.32809841294211,4.63299590487093,MPFC,0.0114194796034249,0.494901019796041
S20,AFS10,true,-16.5957450866699,68.1623687744141,-1.63450407981873,24,4.1606611349592,2.2651844517004,MPFC,-0.0813503786091356,0.466506698660268
S20,AFS11,false,-20.7658729553223,63.6945724487305,-3.05511045455933,17,4.32809841294211,4.63299590487093,MPFC,0.780344400870553,0.228954209158168
S20,AFS11,true,-20.7658729553223,63.6945724487305,-3.05511045455933,24,4.1606611349592,2.2651844517004,MPFC,0.344783435213835,0.371325734853029
S20,AFS12,false,-20.7281627655029,60.5625190734863,-0.771354079246521,17,4.32809841294211,4.63299590487093,MPFC,0.506289799457882,0.313937212557489
S20,AFS12,true,-20.7281627655029,60.5625190734863,-0.771354079246521,24,4.1606611349592,2.2651844517004,MPFC,0.180395224914307,0.437112577484503
S04,AFS1,false,-20.4377861022949,62.7045974731445,-13.8462724685669,27,3.09006341314806,0.451777966492526,OFC,2.0059458941379,0.0365926814637073
S04,AFS1,true,-20.4377861022949,62.7045974731445,-13.8462724685669,23,3.19460142926191,0.189371262555641,OFC,0.689663143397424,0.261847630473905
S20,AFS1,false,-2.41168069839478,37.9249267578125,-28.0761013031006,17,4.32809841294211,4.63299590487093,MPFC,1.32612232762917,0.101979604079184
S20,AFS1,true,-2.41168069839478,37.9249267578125,-28.0761013031006,24,4.1606611349592,2.2651844517004,MPFC,1.84701565378429,0.0469906018796241
S04,AFS2,false,-20.8877372741699,64.140380859375,-1.39564394950867,27,3.09006341314806,0.451777966492526,OFC,0.965511324577677,0.185162967406519
S04,AFS2,true,-20.8877372741699,64.140380859375,-1.39564394950867,23,3.19460142926191,0.189371262555641,OFC,-0.0911205050703934,0.240451909618076
S20,AFS2,false,-1.78563141822815,42.1640396118164,-27.2706146240234,17,4.32809841294211,4.63299590487093,MPFC,-0.508325551197627,0.312937412517497
S20,AFS2,true,-1.78563141822815,42.1640396118164,-27.2706146240234,24,4.1606611349592,2.2651844517004,MPFC,1.00113482844627,0.173565286942611
S20,AFS3,false,-0.910423636436462,45.5864753723145,-25.9141235351562,17,4.32809841294211,4.63299590487093,MPFC,-0.361955742577919,0.367726454709058
S20,AFS3,true,-0.910423636436462,45.5864753723145,-25.9141235351562,24,4.1606611349592,2.2651844517004,MPFC,1.90750184679473,0.0393921215756849
S20,AFS4,false,-0.451139450073242,49.0467948913574,-23.7949848175049,17,4.32809841294211,4.63299590487093,MPFC,1.30373655994688,0.104179164167167
S20,AFS4,true,-0.451139450073242,49.0467948913574,-23.7949848175049,24,4.1606611349592,2.2651844517004,MPFC,2.30756320885111,0.0167966406718656
S20,AFS5,false,-0.722235441207886,51.9160957336426,-24.0464611053467,17,4.32809841294211,4.63299590487093,MPFC,0.218952521006438,0.419316136772645
