subj,chan,task,X,Y,Z,dof,responseTr,Loc_Tval,Loc_Pval,RT,varRT,JPAnatomy,Tval,Pval
S20,AFS10,EP,-16.5957450866699,68.1623687744141,-1.63450407981873,24,11,-0.482580323771772,0.439312137572485,4.26173554829196,4.30961196652941,MPFC,-0.360120390808112,0.356328734253149
S20,AFS10,MTH,-16.5957450866699,68.1623687744141,-1.63450407981873,35,18,NaN,NaN,5.74130422528625,15.5221884517355,MPFC,0.66852851744869,0.380523895220956
S20,AFS10,OTH,-16.5957450866699,68.1623687744141,-1.63450407981873,24,20,-0.532015927745614,0.424515096980604,5.41801136624963,3.26093132918328,MPFC,0.0477958268702195,0.482703459308138
S20,AFS10,SE,-16.5957450866699,68.1623687744141,-1.63450407981873,23,13,-0.27835447055516,0.466906618676265,4.6938145411297,7.0737157112933,MPFC,-0.352787951288725,0.359728054389122
S20,AFS10,SJ,-16.5957450866699,68.1623687744141,-1.63450407981873,17,13,-0.206796189567057,0.428314337132573,3.92046452064824,2.72187106453632,MPFC,1.0980287357277,0.163967206558688
S20,AFS11,EP,-20.7658729553223,63.6945724487305,-3.05511045455933,24,11,2.06488126696556,0.0221955608878224,4.26173554829196,4.30961196652941,MPFC,0.0371664870614361,0.488502299540092
S20,AFS11,MTH,-20.7658729553223,63.6945724487305,-3.05511045455933,35,18,NaN,NaN,5.74130422528625,15.5221884517355,MPFC,-3.17058522459437,0.000799840031993601
S20,AFS11,OTH,-20.7658729553223,63.6945724487305,-3.05511045455933,24,20,1.05003409284266,0.152969406118776,5.41801136624963,3.26093132918328,MPFC,0.226842250168589,0.422315536892621
S20,AFS11,SE,-20.7658729553223,63.6945724487305,-3.05511045455933,23,13,3.38330473355942,0.0011997600479904,4.6938145411297,7.0737157112933,MPFC,-0.354197567186328,0.380523895220956
S20,AFS11,SJ,-20.7658729553223,63.6945724487305,-3.05511045455933,17,13,1.8721179598866,0.0423915216956609,3.92046452064824,2.72187106453632,MPFC,0.396676751359932,0.355528894221156
S20,AFS12,EP,-20.7281627655029,60.5625190734863,-0.771354079246521,24,11,0.632847703990272,0.2625474905019,4.26173554829196,4.30961196652941,MPFC,-0.480275142646534,0.309338132373525
S20,AFS12,MTH,-20.7281627655029,60.5625190734863,-0.771354079246521,35,18,NaN,NaN,5.74130422528625,15.5221884517355,MPFC,-0.77532038731952,0.22995400919816
S20,AFS12,OTH,-20.7281627655029,60.5625190734863,-0.771354079246521,24,20,0.212747229055093,0.417716456708658,5.41801136624963,3.26093132918328,MPFC,1.60914610194135,0.0623875224955009
S20,AFS12,SE,-20.7281627655029,60.5625190734863,-0.771354079246521,23,13,1.68020530790182,0.0491901619676065,4.6938145411297,7.0737157112933,MPFC,-0.418132300204974,0.350329934013197
S20,AFS12,SJ,-20.7281627655029,60.5625190734863,-0.771354079246521,17,13,-0.67488432550876,0.250749850029994,3.92046452064824,2.72187106453632,MPFC,-0.693771304599391,0.252949410117976
S04,AFS1,EP,-20.4377861022949,62.7045974731445,-13.8462724685669,25,5,3.48586969617695,0.0015996800639872,3.19580847456004,0.392079145931564,OFC,2.82804618746305,0.0560887822435513
S04,AFS1,MTH,-20.4377861022949,62.7045974731445,-13.8462724685669,40,24,NaN,NaN,6.27493552212472,4.63283245206282,OFC,-1.55620189343405,0.0730853829234153
